dependencia,Cantidad Registros,Media,Desviaci�n Est�ndar,M�nimo,25%,50%,75%,M�ximo,,,,,,
CENTRO DE VINCULACION SOCIAL Y EMPRESARIAL,147,15046.29265,11265.90666,2809.47,8156.91,9407.48,20124.625,42621.55,,,,,,
CENTRO DE VINCULACIÓN Y EMPRESAS UNIVERSITARIAS,227,14238.25493,7906.92743,3041.28,8356.785,11432.85,16488.84,36845.52,,,,,,
CENTRO UNIVERSITARIO DE SALUD,7892,11244.95511,6442.348935,245.38,7716.16,10078.77,13266.45,108406.53,,,,,,
CONTRALORIA GENERAL,1029,16299.73892,11719.82463,3211.49,9082.7,12562.54,18820.55,87674.49,,,,,,
CTRO. DE INF. DE HISTORIA REGIONAL,558,13352.50086,6272.916343,3196.35,9336.305,11640.285,15007.5525,41431.09,,,,,,
CTRO. DE INVESTIGACIÓN; INNOVACIÓN Y DESARROLLO DE LAS ARTES,710,12748.31165,9539.998622,967.91,8234.1,10647.21,12783.85,62636.06,,,,,,
DEPARTAMENTO DE ADQUISICIONES,473,16628.71789,14136.71238,2767.84,10567.8,12697.1,15164.39,85787.13,,,,,,
DEPARTAMENTO DE BECAS,1883,13075.72586,8870.176529,1039.07,8562.475,11169.73,15073.61,81558.24,,,,,,
DEPARTAMENTO ESCOLAR Y DE ARCHIVO,4093,10623.68601,9337.795263,705.27,6953.71,8118.32,10537.4,97422.5,,,,,,
DEPTO. DE PERSONAL,965,9985.949264,5581.799067,1868.27,7582.6,8584.66,10465.58,43292.89,,,,,,
DIRECCION DE ACTIVIDADES ESTUDIANTILES,414,11013.4814,5558.059827,2699.14,8094.4825,9480.24,12052.7075,41051.55,,,,,,
DIRECCION DE BIBLIOTECAS,4639,12284.20934,7259.778802,1015.33,8044.99,11084.51,14478.79,84383.72,,,,,,
DIRECCION DE COMUNICACION INSTITUCIONAL,1080,13876.77269,9373.538192,928.04,8388.445,10747.305,15639.3475,69085.55,,,,,,
DIRECCION DE COMUNICACION INSTITUCIONAL Y RELACIONES PUBLICAS,945,16073.97017,8686.356373,3182.87,11374.11,13480.61,17512.91,68118.1,,,,,,
DIRECCION DE CONSTRUCCION Y MANTENIMIENTO,2119,13574.2284,7887.699536,265.57,9364.48,11422.84,16406.765,92363.16,,,,,,
DIRECCION DE DEPORTES,5200,12180.16079,7023.711188,205.36,8526.54,10954.005,13642.97,113355.29,,,,,,
DIRECCION DE DESARROLLO CULTURAL,1739,12170.39315,6525.328843,1897.33,8087.74,10052.01,14164.085,47664.5,,,,,,
DIRECCION DE EDITORIAL UNIVERSITARIA,1099,12016.56301,5461.825647,4634.34,8234.1,10909.95,13834.825,35032.51,,,,,,
DIRECCION DE INVESTIGACION,957,13373.02801,8579.062181,2979.15,9125.3,11767.33,14808.82,81399.29,,,,,,
DIRECCION DE PREVENCION Y PROTECCION UNIVERSITARIA,3127,10679.48959,6319.263643,2618.34,7670.49,9590.82,11564.54,70171.73,,,,,,
DIRECCION DE RADIO Y TELEVISION UNIVERSITARIA,772,13313.43433,4763.387426,1288.45,9315.3425,12639.76,16033.83,40526.18,,,,,,
DIRECCION DE RECURSOS HUMANOS Y NOMINAS,1831,13313.79554,8143.7419,383.4,8399.55,11428.08,15071.83,78631.13,,,,,,
DIRECCION DE SERVICIO SOCIAL Y PRACTICAS PROFESIONALES,1724,15342.39067,9535.73405,198.64,8616.0325,13056.255,18909.47,78980.18,,,,,,
DIRECCION DE SERVICIOS GENERALES,2572,9973.733044,4870.261604,2597.12,7716.16,9174.13,10922.32,52132.62,,,,,,
DIRECCION DE SERVICIOS MEDICOS,7123,11150.19301,4940.902367,177.2,8080.325,9818.32,13428.66,61731.77,,,,,,
DIRECCION DE TECNOLOGIAS DE INFORMACION,2977,11455.84879,7167.612913,2218.23,8313.11,10425.05,12575.14,95931.77,,,,,,
DIRECCION DE UNIDADES ACADEMICAS,2,48706.9,7710.5469,43254.72,45980.81,48706.9,51432.99,54159.08,,,,,,
DIRECCION DEL PROGRAMA DE FUTBOL AMERICANO,931,9385.53189,4804.515065,1570.51,6415.04,8762.28,10813.22,38072.02,,,,,,
DIRECCION DEL SISTEMA DE ESTUDIOS DE POSGRADO,395,17049.66403,11457.19362,4983.33,11043.35,13289.47,17212.01,74481.53,,,,,,
DIRECCION GENERAL ADMINISTRATIVA,909,17656.24955,14615.73297,962.7,8688.25,14082.22,19345.74,102812.53,,,,,,
DIRECCION GENERAL DE PLANEACION Y PROYECTOS ESTRATEGICOS,1930,17544.98786,13681.90745,2902.05,9760.8025,13071.85,19681.93,112917.75,,,,,,
DIRECCION GENERAL DE TECNOLOGÍAS Y DESARROLLO DIGITAL,2878,14371.61804,5401.396241,2878.46,11424.79,12833.895,16535.7375,42239.32,,,,,,
DIRECCION RESPONSABILIDAD SOCIAL UNIVERSITARIA (SS),13,29785.79,23277.24729,9212.01,12552.53,13245.58,55426.41,59608.67,,,,,,
DIRECCION TECNICA DE LA RECTORIA,64,14785.36203,4090.060016,8987.94,12552.53,14839.62,16209.75,25491.41,,,,,,
DIRECCIÓN ADMINISTRATIVA DE LA SIID,56,27286.8475,14274.00525,9464.53,12570.64,23606.875,41692.47,57692.99,,,,,,
DIRECCIÓN DE ADMINISTRACIÓN DE CALIDAD,80,16419.51887,10041.69811,10031.32,11155.445,11996.65,15917.9675,51832.66,,,,,,
DIRECCIÓN DE DESARROLLO DE MODELOS TECNOLÓGICOS,52,26102.06096,22565.8848,6704.95,7229.5025,11746.13,51947.92,71969.19,,,,,,
DIRECCIÓN DE DESARROLLO INSTITUCIONAL ACADÉMICO,64,17075.35109,5482.225689,5571.06,13011.1575,14170.325,21718.44,29949.51,,,,,,
DIRECCIÓN DE EDUCACIÓN DIGITAL,883,12539.33111,5136.010284,1612.7,10026.69,11718.56,14237.1,58938.69,,,,,,
DIRECCIÓN DE EDUCACIÓN INCLUSIVA,44,14587.93955,9056.686673,1383.92,11519.76,12640.765,15699.21,53305.67,,,,,,
DIRECCIÓN DE EMPRENDIMIENTO Y DESARROLLO EMPRESARIAL,156,12579.83686,4921.723819,2890.03,8727.8475,11579.425,16193.2,26971.67,,,,,,
DIRECCIÓN DE ESTUDIOS INCORPORADOS,119,10627.03555,2799.185993,3615.63,8175.335,11041.59,12013.41,20415.87,,,,,,
DIRECCIÓN DE FORMACIÓN INTEGRAL AL ESTUDIANTE,248,10829.19968,9491.356657,4453.98,6534.79,8024.16,12277.8275,67925.31,,,,,,
DIRECCIÓN DE FORMACIÓN Y DESARROLLO PROFESIONAL,200,23187.0622,19533.70547,5442.52,11578.835,13330.16,23237.975,83608.04,,,,,,
DIRECCIÓN DE HUMANIDADES E HISTORIA,193,15304.09497,9566.646151,6584.27,8184.57,10405.41,19979.23,44443.24,,,,,,
DIRECCIÓN DE INNOVACIÓN EDUCATIVA,102,19551.6449,14014.10572,1972.5,10647.28,14147.78,25936.0675,72839.72,,,,,,
DIRECCIÓN DE INNOVACIÓN Y DESARROLLO DE MODELOS TECNOLÓGICOS,154,11331.97266,4591.773672,1855.44,8170.7175,10590.675,12381.47,29739.15,,,,,,
DIRECCIÓN DE INNOVACIÓN Y EMPRENDIMIENTO,72,17395.44139,13166.87892,6590.64,7456.3275,13301.86,19940.84,58465.93,,,,,,
DIRECCIÓN DE INTERCAMBIO ACADÉMICO,343,17426.14277,11543.32347,312.9,11826.16,14000.51,16714.57,67001.52,,,,,,
DIRECCIÓN DE INVESTIGACIÓN EDUCATIVA,32,30192.215,24540.70189,11424.85,13195.33,14917.17,62321.9325,82985.33,,,,,,
DIRECCIÓN DE LA UNIDAD PARA LA IGUALDAD DE GÉNERO,12,12844.7875,2571.722591,11335.53,11630.0225,11818.46,12043.0625,18490.34,,,,,,
DIRECCIÓN DE PLANEACIÓN ESTRATÉGICA EN INNOVACIÓN,22,8792.027727,2051.254152,6482.2,6840.66,9172.65,10385.23,13266.21,,,,,,
DIRECCIÓN DE RELACIONES INTERNACIONALES,395,17020.1922,17893.82469,2897.66,8140.14,10567.55,15861.46,104341.4,,,,,,
DIRECCIÓN DE SISTEMA DE ESTUDIOS DEL NIVEL MEDIO SUPERIOR,470,14900.53411,13630.45925,5254.38,8166.62,10734.635,14896.19,79424.71,,,,,,
DIRECCIÓN DEL SISTEMA DE ESTUDIOS DE LICENCIATURA,708,13040.70362,7084.38189,4604.03,10081.9075,11629.72,13453.02,70136.47,,,,,,
DIRECCIÓN GENERAL DE RADIO Y TELEVISIÓN UNIVERSITARIA,2460,11064.5132,5000.872029,407.16,7614.16,10159.77,13330.16,43737.83,,,,,,
ESC.IND.Y PREPA.TEC.ALVARO OBREGON,21477,13136.46428,7824.823355,205.36,7767.26,10788.57,17009.2,70605.09,,,,,,
ESCUELA INDUSTRIAL Y PREPARATORIA TECNICA PABLO LIVAS,8740,13107.31841,7210.077722,437.69,7975.1,11793.8,16882.66,66060.03,,,,,,
ESCUELA PREPARATORIA # 1,8444,13918.56441,7398.011689,248.05,8234.2,13181.875,17847.5725,70695.53,,,,,,
ESCUELA PREPARATORIA # 2,7387,14615.57456,7382.652212,1094.07,9442.465,12890.81,18291.155,67005.01,,,,,,
ESCUELA PREPARATORIA # 3,8855,13610.68345,8401.437125,415.39,7971.055,11359.38,16779.375,68582.59,,,,,,
ESCUELA PREPARATORIA # 4,3500,12693.13977,7003.638134,1007.6,7622.58,11423.825,15813.935,62421.18,,,,,,
ESCUELA PREPARATORIA # 5,1303,14519.6003,8963.360797,350.98,8020.44,12425.6,18207.29,52934.28,,,,,,
ESCUELA PREPARATORIA # 6,1682,13189.29878,7905.969685,2906.55,8210.6575,10856.49,15386.9475,55938.54,,,,,,
ESCUELA PREPARATORIA # 7,10164,13611.62314,7635.308596,409.32,8211.63,11482.155,17490.44,64638.02,,,,,,
ESCUELA PREPARATORIA # 8,5590,15012.29343,7203.205959,811.8,9617.69,14319.575,18570.01,58577.49,,,,,,
ESCUELA PREPARATORIA # 9,7538,15751.17611,7368.694092,1039.71,10466.14,14612.525,19463.9625,65394.43,,,,,,
ESCUELA PREPARATORIA #10,1056,12994.76769,10477.80826,1217.2,7442.55,9313.78,14549.25,70729.44,,,,,,
ESCUELA PREPARATORIA #11,897,11134.94693,7232.400315,2549.62,7212.66,8688.56,12037.39,45888.24,,,,,,
ESCUELA PREPARATORIA #12,2459,13896.57498,7257.738477,882.03,8882.575,12623.45,17029.76,115258.74,,,,,,
ESCUELA PREPARATORIA #13,1824,14052.89315,9597.940149,356.27,7825.25,11114.895,17055.6275,68898,,,,,,
ESCUELA PREPARATORIA #14,1119,14758.77432,9358.751153,924.43,8070.3,11835.75,18567.68,56302.98,,,,,,
ESCUELA PREPARATORIA #15,7945,17894.05825,9868.018639,698.05,10713.88,16165.1,22090.06,72693.55,,,,,,
ESCUELA PREPARATORIA #16,5182,14077.34965,8245.028898,1713.87,8554.4675,11798.1,17903.89,69367.2,,,,,,
ESCUELA PREPARATORIA #17,1985,16301.60772,8715.857228,246.65,10538.09,14813.79,19112.85,56492.78,,,,,,
ESCUELA PREPARATORIA #18,2281,15352.35135,10010.84094,1786.85,8615.98,11987.01,20013.3,72179.05,,,,,,
ESCUELA PREPARATORIA #19,2106,13404.79943,6681.489493,2007.52,8438.765,12453.42,16482,54550.87,,,,,,
ESCUELA PREPARATORIA #20,2288,15796.39829,8117.558959,187.54,9734.0025,14250.955,19828.89,56814.65,,,,,,
ESCUELA PREPARATORIA #21,1245,13665.74847,8469.295702,388.77,7722.65,10856.47,17541.04,58329.82,,,,,,
ESCUELA PREPARATORIA #22,9172,14502.17426,8124.934378,211.75,8537.79,12897.17,18981.99,64545.72,,,,,,
ESCUELA PREPARATORIA #23,4068,16211.19193,9011.962311,230.03,9608.3,14441.36,20302.5625,64881.6,,,,,,
ESCUELA PREPARATORIA #24,781,14777.40056,11693.97088,2671.05,7605.16,11188.1,17627.12,74210.18,,,,,,
ESCUELA PREPARATORIA #25,4704,15331.46919,7961.565427,608.85,9584.94,14308.08,18854.6125,73978.23,,,,,,
ESCUELA Y PREPARATORIA TECNICA MEDICA,8032,13649.44819,8605.382368,294.44,7816.07,11434.05,17717.4625,73983.28,,,,,,
FAC. DE AGRONOMIA,5645,16954.19638,12232.51147,381.94,8450.61,12928.38,21489.62,125886.32,,,,,,
FAC. DE ARQUITECTURA,17011,13775.75698,8844.570592,223.93,7085.51,11760.43,18823.505,79814.57,,,,,,
FAC. DE ARTES ESCENICAS,2400,13296.4299,9223.491222,1252,7481.085,10405.41,16267.58,68377.74,,,,,,
FAC. DE ARTES VISUALES,4990,13381.78275,8165.070282,1008.31,8146.0275,10914.18,16620.875,68648,,,,,,
FAC. DE CIENCIAS BIOLOGICAS,15811,18374.85979,13441.71244,177.2,8550.52,14686.3,24406.775,144501.4,,,,,,
FAC. DE CIENCIAS DE LA COMUNICACION,7638,15277.20125,8792.414744,637.65,8422.6525,13082.04,20027.87,64032.63,,,,,,
FAC. DE CIENCIAS DE LA TIERRA,2954,20269.28472,14096.81024,1102.41,8632.3725,16247.51,28230.98,85538.87,,,,,,
FAC. DE CIENCIAS FISICO-MATEMATICAS,11200,17389.04483,11026.51754,390.87,8183.3025,14546.41,26404.29,69929.26,,,,,,
FAC. DE CIENCIAS FORESTALES,4213,16802.1284,14714.28283,559.82,7207.59,10034.35,20021.82,85062.92,,,,,,
FAC. DE CIENCIAS QUIMICAS,16092,16397.88615,10565.98995,408.75,7609.55,14165.76,25553.05,95110.87,,,,,,
FAC. DE CONTADURIA PUBLICA Y ADMON.,20089,14751.86749,8678.563533,474.28,8392.6,12085.65,19621.03,90982.69,,,,,,
FAC. DE ECONOMIA,3045,18227.38827,12521.86919,742.43,8676.66,13330.16,25804.56,79018.64,,,,,,
FAC. DE ENFERMERIA,5390,15771.8061,9358.955563,725.47,8762.28,13181.03,21413.26,64993.9,,,,,,
FAC. DE FILOSOFIA Y LETRAS,11894,14848.26866,10039.90745,405.9,7669.29,12065.795,20172.81,129748.17,,,,,,
FAC. DE ING. CIVIL,8279,15151.60281,10614.85827,457.16,7952.47,11587.78,20123.55,101727.07,,,,,,
FAC. DE ING. MECANICA Y ELECTRICA,35035,20479.72582,11402.53052,297.42,11146.905,19061.1,28131.8,118943.89,,,,,,
FAC. DE MED. VETERINARIA Y ZOOT.,4927,15474.8516,9840.61753,291.75,8260.59,12309.03,19882.31,70765.45,,,,,,
FAC. DE MEDICINA,34295,18330.53293,11872.34724,474.68,9261.54,15221.28,24443.29,129748.17,,,,,,
FAC. DE MUSICA,3865,13032.82528,9934.537556,189.65,6663.71,10178.13,16843.78,69288.06,,,,,,
FAC. DE ODONTOLOGIA,7821,16754.41258,10983.64754,697.96,8416.04,13794.68,21909.32,86275.97,,,,,,
FAC. DE ORGANIZACION DEPORTIVA,7716,14591.43324,9842.513116,405.9,7946.08,11645.22,18374.1625,111296.88,,,,,,
FAC. DE PSICOLOGIA,8672,14726.39233,10513.78915,405.9,7506.825,10634.25,20618.98,80386.2,,,,,,
FACULTAD DE CIENCIAS POLÍTICAS Y RELACIONES INTERNACIONALES,8270,15844.47776,11240.7119,572.91,7980.5275,13652.055,20838.635,78185.81,,,,,,
FACULTAD DE DERECHO Y CRIMINOLOGIA,15658,14080.70162,9685.784967,364.69,7052.33,11098.69,20028.56,67797.71,,,,,,
FACULTAD DE SALUD PUBLICA Y NUTRICION,6578,13787.69639,9816.857428,547.04,7154.7925,10567.56,18748.9325,78631.96,,,,,,
FACULTAD DE TRABAJO SOCIAL Y DESARROLLO HUMANO,5039,16574.00923,11171.71292,383.88,8166.64,13233.12,22619.91,69673.32,,,,,,
GIMNASIO DE AREA MEDICA,919,10338.28099,5259.311475,1384.96,6704.465,9658.4,12566.585,42243.75,,,,,,
HOSPITAL UNIVERSITARIO,105549,9631.383249,4168.207964,175.41,6946.2,8629.98,11622.83,85007.77,,,,,,
IMAGEN INSTITUCIONAL,438,13145.07311,4275.154799,2694.8,10620.3475,13008.385,15659.8125,28708.68,,,,,,
IMPRENTA UNIVERSITARIA,762,9234.470105,3235.289662,3941.72,7225.5375,8483.905,11257.1925,24300.94,,,,,,
INST. DE INVESTIGACIONES SOCIALES,1313,20865.75884,11001.90073,5111.94,11944.81,19721.98,25553.05,81232.39,,,,,,
JUNTA DE GOBIERNO,142,9432.126127,2389.815714,3702.8,7871.595,9223.75,10399.0575,18726.03,,,,,,
LIBRERIA UNIVERSITARIA,2523,10034.04673,5276.015473,1684.2,7129.99,8533.36,11434.835,53411.65,,,,,,
OFICINA DE LA ABOGACÍA GENERAL,1866,16386.42095,11826.36211,3620.12,9379.965,12191.995,17718.85,79717.21,,,,,,
ORQUESTA SINFONICA,2698,11877.32408,3912.853359,326.27,9780.41,11301.9,13462.805,50610.28,,,,,,
POLIDEPORTIVO TIGRES ESCOBEDO,774,12027.75475,4569.342066,5244.06,9052.735,11137.54,14423.42,38543.77,,,,,,
POLIDEPORTIVO TIGRES ´ESCOBEDO´,401,13637.25646,5076.76783,4085.71,10405.41,12774.07,16163.13,41026.89,,,,,,
RECTORIA,905,26054.08192,27316.32517,5467.78,9764.8,13805.18,23473.39,147051.59,,,,,,
SECRETARIA ACADEMICA,2427,12863.09995,11600.87813,583.16,7266.81,9522.79,13257,104335.86,,,,,,
SECRETARIA DE DESARROLLO AGROPECUARIO,295,18072.53637,21554.15217,2867.44,7555.005,10372.98,15906.02,116779.36,,,,,,
SECRETARIA DE EXT.Y CULTURA,2304,12704.78765,8469.323162,2731.28,8549.0175,10709.885,13932.51,97556.97,,,,,,
SECRETARIA DE RELACIONES INTERNACIONALES,366,14841.45604,8138.119683,3258.05,9575.2,12203.81,16516.46,47612.95,,,,,,
SECRETARIA DE SUSTENTABILIDAD,1026,21817.30734,21432.47572,2861.23,10517.21,13478.145,18170.2175,125965.13,,,,,,
SECRETARIA GENERAL,1497,17644.2915,18066.82524,2329.22,8813.5,11186.04,15081.66,121781.67,,,,,,
SECRETARÍA DE IGUALDAD E INCLUSIÓN,24,12780.40292,4763.174743,3445.96,8627.9725,11726.24,15361.8425,25681.21,,,,,,
SECRETARÍA DE INNOVACIÓN Y DESARROLLO DIGITAL,377,17800.03093,18654.44828,2943.86,7991.48,9910.21,17169.33,102676,,,,,,
SRIA. DE INVESTIGACIÓN CIENTÍFICA Y DESARROLLO TECNOLÓGICO,346,17638.83301,21135.85258,3438.75,8302.3875,10148.78,17250.945,120970.94,,,,,,
TEATRO UNIVERSITARIO,1103,10873.27687,8876.623893,2611.44,6938.375,8717.98,10864.93,67532.31,,,,,,
TESORERIA GENERAL,2860,16224.49345,10929.21482,245.38,9218.255,12654.025,18704.1625,87384.51,,,,,,
UNIDAD DE TRANSPARENCIA,330,15935.45094,8058.354377,285.73,11927.925,13851.25,17069.1875,49809.89,,,,,,
WORLD TRADE CENTER MONTEREY-UANL,88,15711.14023,11753.81768,7184.08,10607.715,11496.195,14019.56,58697.17,,,,,,
´CAPILLA ALFONSINA´ BIBLIOTECA UNIVERSITARIA,664,13694.67051,4459.250247,311.22,11267.1925,12729.4,16100.4375,35182.17,,,,,,
